time,open,high,low,close,Volume
2024-04-18T19:45:00+02:00,5012.75,5015.76,5012.17,5013.88,NaN
2024-04-18T19:50:00+02:00,5013.83,5013.83,5006.92,5008.34,NaN
2024-04-18T19:55:00+02:00,5008.44,5012.2,5008.12,5011.95,NaN
2024-04-18T20:00:00+02:00,5011.98,5011.98,5007.91,5009,NaN
2024-04-18T20:05:00+02:00,5008.99,5009.6,5004.94,5006.36,NaN
2024-04-18T20:10:00+02:00,5006.32,5009.69,5002.46,5007.97,NaN
2024-04-18T20:15:00+02:00,5007.85,5015.12,5007.85,5013.82,NaN
2024-04-18T20:20:00+02:00,5013.88,5019.07,5012.68,5016.14,NaN
2024-04-18T20:25:00+02:00,5016.18,5018.96,5009.77,5010.7,NaN
2024-04-18T20:30:00+02:00,5010.87,5011.22,5001.89,5002.43,NaN
2024-04-18T20:35:00+02:00,5002.38,5007.3,5002.3,5005.61,NaN
2024-04-18T20:40:00+02:00,5005.73,5011.39,5005.07,5010.83,NaN
2024-04-18T20:45:00+02:00,5010.91,5011.69,5008.17,5011.57,NaN
2024-04-18T20:50:00+02:00,5011.56,5011.56,5006.15,5007.63,NaN
2024-04-18T20:55:00+02:00,5007.6,5008.61,5004.62,5005.4,NaN
2024-04-18T21:00:00+02:00,5005.43,5014.63,5005.43,5012.02,NaN
2024-04-18T21:05:00+02:00,5012.09,5016.98,5011.36,5013.14,NaN
2024-04-18T21:10:00+02:00,5013.19,5018.21,5010.94,5012.45,NaN
2024-04-18T21:15:00+02:00,5012.27,5013.15,5009.03,5011.05,NaN
2024-04-18T21:20:00+02:00,5011.05,5015.7,5008.91,5014.15,NaN
2024-04-18T21:25:00+02:00,5013.9,5014.73,5009.62,5013.13,NaN
2024-04-18T21:30:00+02:00,5013.22,5017.01,5013.22,5017.01,NaN
2024-04-18T21:35:00+02:00,5016.97,5018.81,5013.29,5013.32,NaN
2024-04-18T21:40:00+02:00,5013.22,5018.64,5012.81,5017.55,NaN
2024-04-18T21:45:00+02:00,5017.53,5018.67,5015.85,5017.7,NaN
2024-04-18T21:50:00+02:00,5018.5,5023.35,5009.13,5009.33,NaN
2024-04-18T21:55:00+02:00,5009.16,5012.64,5008.07,5011.88,NaN
2024-04-18T22:00:00+02:00,5010.83,5011.23,5010.83,5011.11,NaN
2024-04-19T15:30:00+02:00,5005.67,5011.84,5001.21,5008.29,NaN
2024-04-19T15:35:00+02:00,5007.66,5008.96,5003.19,5006.11,NaN
2024-04-19T15:40:00+02:00,5006.23,5015.73,5004.48,5015.07,NaN
2024-04-19T15:45:00+02:00,5014.62,5019.02,5010.73,5010.95,NaN
2024-04-19T15:50:00+02:00,5010.73,5013.92,5003.46,5013.49,NaN
2024-04-19T15:55:00+02:00,5013.34,5015.82,5010.53,5011.43,NaN
2024-04-19T16:00:00+02:00,5011.9,5015.83,5008.23,5010.63,NaN
2024-04-19T16:05:00+02:00,5010.74,5013.96,5009.66,5010.72,NaN
2024-04-19T16:10:00+02:00,5010.76,5010.76,5002.75,5003.28,NaN
2024-04-19T16:15:00+02:00,5003.83,5005.05,4998.4,4998.41,NaN
2024-04-19T16:20:00+02:00,4998.38,5002.15,4993.92,4994.03,NaN
