,time,open,high,low,close
1365,2024-09-05 17:00:00+00:00,5495.89,5514.75,5486.24,5514.62
1366,2024-09-05 18:00:00+00:00,5514.66,5519.15,5507.27,5510.27
1367,2024-09-05 19:00:00+00:00,5510.14,5510.52,5489.48,5502.51
1368,2024-09-05 20:00:00+00:00,5503.69,5503.69,5503.36,5503.42
1369,2024-09-06 13:00:00+00:00,5507.05,5522.47,5485.69,5486.26
1370,2024-09-06 14:00:00+00:00,5482.98,5489.67,5423.02,5428.65
1371,2024-09-06 15:00:00+00:00,5429.16,5460.78,5410.85,5413.6
1372,2024-09-06 16:00:00+00:00,5413.07,5418.21,5404.47,5409.15
1373,2024-09-06 17:00:00+00:00,5409.14,5427.5,5407.16,5413.61
1374,2024-09-06 18:00:00+00:00,5413.62,5415.44,5402.62,5412.34
1375,2024-09-06 19:00:00+00:00,5412.28,5425.75,5403.81,5409.64
1376,2024-09-06 20:00:00+00:00,5409.68,5409.68,5408.43,5408.43
1377,2024-09-09 13:00:00+00:00,5447.47,5461.94,5444.6,5459.99
1378,2024-09-09 14:00:00+00:00,5460.41,5470.09,5440.11,5440.11
1379,2024-09-09 15:00:00+00:00,5439.75,5467.19,5434.49,5467.1
1380,2024-09-09 16:00:00+00:00,5467.3,5483.38,5465.21,5482.44
1381,2024-09-09 17:00:00+00:00,5482.39,5484.2,5463.61,5464.7
1382,2024-09-09 18:00:00+00:00,5464.79,5464.98,5449.59,5458.16
1383,2024-09-09 19:00:00+00:00,5458.19,5472.19,5452.35,5471.15
1384,2024-09-09 20:00:00+00:00,5471.44,5471.44,5471.06,5471.06
1385,2024-09-10 13:00:00+00:00,5492.33,5495.14,5483.15,5484.98
1386,2024-09-10 14:00:00+00:00,5484.82,5487.05,5462.11,5471.78
1387,2024-09-10 15:00:00+00:00,5471.82,5484.51,5448.58,5448.78
1388,2024-09-10 16:00:00+00:00,5448.81,5464.88,5441.73,5459.03
1389,2024-09-10 17:00:00+00:00,5459.01,5478.48,5458.05,5476.44
1390,2024-09-10 18:00:00+00:00,5476.5,5490.76,5476.5,5489.17
1391,2024-09-10 19:00:00+00:00,5489.16,5497.9,5487.47,5496.57
1392,2024-09-10 20:00:00+00:00,5495.34,5495.54,5495.34,5495.53
1393,2024-09-11 13:00:00+00:00,5496.41,5496.41,5453.66,5455.81
1394,2024-09-11 14:00:00+00:00,5454.54,5454.54,5406.95,5418.45
1395,2024-09-11 15:00:00+00:00,5417.85,5458.62,5413.0,5451.71
1396,2024-09-11 16:00:00+00:00,5451.71,5482.34,5450.72,5480.57
1397,2024-09-11 17:00:00+00:00,5480.56,5514.94,5480.56,5507.22
1398,2024-09-11 18:00:00+00:00,5507.3,5533.46,5505.07,5524.18
1399,2024-09-11 19:00:00+00:00,5524.16,5560.4,5520.42,5558.23
1400,2024-09-11 20:00:00+00:00,5552.92,5554.14,5552.92,5554.14
1401,2024-09-12 13:00:00+00:00,5557.78,5561.65,5535.51,5545.51
1402,2024-09-12 14:00:00+00:00,5546.04,5570.04,5541.58,5552.49
1403,2024-09-12 15:00:00+00:00,5552.46,5573.09,5549.2,5552.08
1404,2024-09-12 16:00:00+00:00,5552.12,5579.14,5551.38,5578.55
1405,2024-09-12 17:00:00+00:00,5578.67,5600.72,5577.84,5598.85
1406,2024-09-12 18:00:00+00:00,5598.86,5600.62,5573.97,5593.71
1407,2024-09-12 19:00:00+00:00,5593.55,5599.39,5588.48,5596.75
1408,2024-09-12 20:00:00+00:00,5596.28,5596.28,5595.75,5595.75
1409,2024-09-13 13:00:00+00:00,5603.38,5619.42,5601.64,5616.51
1410,2024-09-13 14:00:00+00:00,5616.93,5631.52,5606.43,5624.67
1411,2024-09-13 15:00:00+00:00,5624.81,5634.03,5622.45,5632.63
1412,2024-09-13 16:00:00+00:00,5632.77,5635.88,5619.66,5628.52
1413,2024-09-13 17:00:00+00:00,5628.56,5636.28,5628.21,5632.18
1414,2024-09-13 18:00:00+00:00,5632.11,5635.69,5618.21,5620.72
1415,2024-09-13 19:00:00+00:00,5620.76,5629.45,5616.95,5625.11
1416,2024-09-13 20:00:00+00:00,5625.82,5626.09,5625.82,5626.01
1417,2024-09-16 13:00:00+00:00,5620.02,5635.04,5613.08,5630.03
1418,2024-09-16 14:00:00+00:00,5630.06,5634.04,5604.54,5612.16
1419,2024-09-16 15:00:00+00:00,5612.4,5619.99,5607.03,5617.76
1420,2024-09-16 16:00:00+00:00,5617.75,5620.84,5608.68,5620.32
1421,2024-09-16 17:00:00+00:00,5620.4,5630.36,5617.74,5630.28
1422,2024-09-16 18:00:00+00:00,5630.25,5632.07,5624.15,5632.01
1423,2024-09-16 19:00:00+00:00,5631.91,5636.06,5625.02,5631.97
1424,2024-09-16 20:00:00+00:00,5633.63,5633.63,5633.08,5633.08
1425,2024-09-17 13:00:00+00:00,5655.5,5659.84,5646.6,5650.41
1426,2024-09-17 14:00:00+00:00,5650.12,5670.82,5647.94,5656.09
1427,2024-09-17 15:00:00+00:00,5656.68,5664.53,5652.89,5654.92
1428,2024-09-17 16:00:00+00:00,5654.9,5656.69,5615.94,5623.55
1429,2024-09-17 17:00:00+00:00,5623.56,5635.43,5614.06,5631.62
1430,2024-09-17 18:00:00+00:00,5631.69,5636.22,5619.51,5625.35
1431,2024-09-17 19:00:00+00:00,5625.34,5635.14,5619.34,5634.39
1432,2024-09-17 20:00:00+00:00,5635.77,5635.77,5634.57,5634.57
1433,2024-09-18 13:00:00+00:00,5641.67,5642.85,5630.54,5634.57
1434,2024-09-18 14:00:00+00:00,5635.23,5638.48,5627.0,5633.01
1435,2024-09-18 15:00:00+00:00,5633.05,5636.18,5620.7,5621.59
1436,2024-09-18 16:00:00+00:00,5621.64,5642.07,5618.48,5641.09
1437,2024-09-18 17:00:00+00:00,5641.17,5647.26,5634.22,5637.16
1438,2024-09-18 18:00:00+00:00,5636.84,5689.76,5635.81,5645.21
1439,2024-09-18 19:00:00+00:00,5644.68,5662.55,5615.32,5618.18
1440,2024-09-18 20:00:00+00:00,5618.22,5618.44,5618.22,5618.25
1441,2024-09-19 13:00:00+00:00,5702.62,5713.03,5686.41,5702.02
1442,2024-09-19 14:00:00+00:00,5701.69,5723.87,5700.0,5704.34
1443,2024-09-19 15:00:00+00:00,5704.12,5716.5,5700.51,5708.86
1444,2024-09-19 16:00:00+00:00,5709.01,5725.15,5708.64,5720.09
1445,2024-09-19 17:00:00+00:00,5720.09,5733.56,5718.54,5730.18
1446,2024-09-19 18:00:00+00:00,5730.27,5732.01,5715.15,5724.35
1447,2024-09-19 19:00:00+00:00,5724.43,5726.13,5708.69,5714.14
1448,2024-09-19 20:00:00+00:00,5713.87,5713.87,5713.64,5713.65
1449,2024-09-20 13:00:00+00:00,5709.63,5709.63,5692.02,5692.89
1450,2024-09-20 14:00:00+00:00,5693.21,5700.09,5685.9,5686.58
1451,2024-09-20 15:00:00+00:00,5686.61,5695.63,5674.48,5692.13
1452,2024-09-20 16:00:00+00:00,5692.53,5707.49,5690.52,5704.29
1453,2024-09-20 17:00:00+00:00,5704.32,5709.2,5701.7,5703.22
1454,2024-09-20 18:00:00+00:00,5703.3,5703.75,5684.36,5697.7
1455,2024-09-20 19:00:00+00:00,5697.75,5715.13,5694.3,5702.11
1456,2024-09-20 20:00:00+00:00,5702.53,5702.66,5702.53,5702.54
1457,2024-09-23 13:00:00+00:00,5715.58,5716.35,5705.79,5710.94
1458,2024-09-23 14:00:00+00:00,5709.78,5725.35,5707.52,5721.13
1459,2024-09-23 15:00:00+00:00,5720.78,5723.77,5710.54,5718.56
1460,2024-09-23 16:00:00+00:00,5718.61,5718.96,5706.43,5708.95
1461,2024-09-23 17:00:00+00:00,5708.94,5715.84,5704.21,5715.54
1462,2024-09-23 18:00:00+00:00,5715.57,5718.05,5711.63,5717.42
1463,2024-09-23 19:00:00+00:00,5717.36,5720.94,5713.36,5718.53
1464,2024-09-23 20:00:00+00:00,5718.46,5718.66,5718.46,5718.58
1465,2024-09-24 13:00:00+00:00,5731.01,5731.01,5714.04,5715.33
1466,2024-09-24 14:00:00+00:00,5714.75,5719.31,5698.98,5717.94
1467,2024-09-24 15:00:00+00:00,5717.94,5733.24,5716.43,5728.48
1468,2024-09-24 16:00:00+00:00,5728.55,5734.44,5725.55,5726.86
1469,2024-09-24 17:00:00+00:00,5726.92,5733.04,5725.5,5727.12
1470,2024-09-24 18:00:00+00:00,5727.13,5729.29,5718.1,5727.05
1471,2024-09-24 19:00:00+00:00,5727.05,5734.62,5726.27,5734.34
1472,2024-09-24 20:00:00+00:00,5733.82,5733.82,5732.94,5732.94
1473,2024-09-25 13:00:00+00:00,5732.79,5740.14,5731.29,5737.56
1474,2024-09-25 14:00:00+00:00,5737.41,5741.02,5729.21,5734.41
1475,2024-09-25 15:00:00+00:00,5734.78,5735.99,5725.63,5729.53
1476,2024-09-25 16:00:00+00:00,5729.54,5730.24,5721.47,5721.92
1477,2024-09-25 17:00:00+00:00,5721.91,5725.36,5712.07,5725.05
1478,2024-09-25 18:00:00+00:00,5725.0,5725.83,5713.36,5722.73
1479,2024-09-25 19:00:00+00:00,5722.78,5724.82,5716.15,5722.37
1480,2024-09-25 20:00:00+00:00,5722.63,5722.82,5722.26,5722.27
1481,2024-09-26 13:00:00+00:00,5762.21,5766.47,5754.56,5757.87
1482,2024-09-26 14:00:00+00:00,5758.29,5762.96,5732.3,5733.79
1483,2024-09-26 15:00:00+00:00,5733.54,5747.86,5730.39,5746.92
1484,2024-09-26 16:00:00+00:00,5746.91,5746.91,5730.94,5732.55
1485,2024-09-26 17:00:00+00:00,5732.56,5739.18,5721.0,5737.07
1486,2024-09-26 18:00:00+00:00,5737.14,5748.88,5737.14,5744.41
1487,2024-09-26 19:00:00+00:00,5744.45,5748.6,5740.7,5747.54
1488,2024-09-26 20:00:00+00:00,5745.23,5745.41,5745.23,5745.36
1489,2024-09-27 13:00:00+00:00,5757.37,5757.37,5749.11,5751.93
1490,2024-09-27 14:00:00+00:00,5751.99,5763.79,5748.48,5759.25
1491,2024-09-27 15:00:00+00:00,5759.06,5759.06,5745.83,5745.83
1492,2024-09-27 16:00:00+00:00,5745.95,5747.8,5740.47,5744.39
1493,2024-09-27 17:00:00+00:00,5744.44,5749.41,5737.07,5746.16
1494,2024-09-27 18:00:00+00:00,5746.14,5748.14,5727.35,5743.84
1495,2024-09-27 19:00:00+00:00,5743.83,5745.0,5736.76,5736.99
1496,2024-09-27 20:00:00+00:00,5737.57,5738.18,5737.57,5738.16
1497,2024-09-30 13:00:00+00:00,5725.62,5737.51,5724.66,5728.23
1498,2024-09-30 14:00:00+00:00,5728.37,5737.16,5724.34,5734.14
1499,2024-09-30 15:00:00+00:00,5734.18,5739.46,5729.21,5736.81
1500,2024-09-30 16:00:00+00:00,5736.86,5743.87,5736.77,5737.4
1501,2024-09-30 17:00:00+00:00,5737.44,5738.29,5731.09,5737.32
1502,2024-09-30 18:00:00+00:00,5737.25,5737.85,5703.52,5727.22
1503,2024-09-30 19:00:00+00:00,5727.23,5765.13,5721.86,5760.91
1504,2024-09-30 20:00:00+00:00,5762.41,5762.49,5762.11,5762.49
1505,2024-10-01 13:00:00+00:00,5755.53,5756.46,5707.98,5716.71
1506,2024-10-01 14:00:00+00:00,5717.35,5722.59,5687.71,5701.94
1507,2024-10-01 15:00:00+00:00,5701.92,5715.59,5681.27,5705.26
1508,2024-10-01 16:00:00+00:00,5705.26,5716.88,5688.58,5705.07
