Date;open;high;low;close
25-2-22 19:00;4373.89;4382.28;4358.43;4368.09
25-2-22 20:00;4368.07;4385.34;4359.55;4384.83
25-2-22 21:00;4384.74;4384.74;4384.61;4384.65
28-2-22 14:00;4354.17;4354.17;4331.64;4348.89
28-2-22 15:00;4349.48;4368.85;4326.62;4366.38
28-2-22 16:00;4366.41;4388.84;4362.83;4380.48
28-2-22 17:00;4380.35;4383.33;4334.54;4342.94
28-2-22 18:00;4342.88;4360.89;4336.81;4352.78
28-2-22 19:00;4352.73;4352.73;4315.12;4336.87
28-2-22 20:00;4336.57;4376.27;4323.74;4373.75
28-2-22 21:00;4374.18;4374.18;4373.2;4373.94
1-3-22 14:00;4363.14;4378.45;4352.61;4355.37
1-3-22 15:00;4355.4;4367.34;4330.97;4334.22
1-3-22 16:00;4334.17;4347.67;4299.66;4305
1-3-22 17:00;4304.87;4322.6;4292.73;4321
1-3-22 18:00;4320.97;4326.24;4289.4;4298.07
1-3-22 19:00;4298.02;4319.73;4287.34;4303.87
1-3-22 20:00;4303.91;4328.43;4279.54;4305.9
1-3-22 21:00;4306.31;4306.31;4306.16;4306.26
2-3-22 14:00;4322.56;4353.45;4322.56;4344.24
2-3-22 15:00;4342.62;4361.72;4323.7;4351.43
2-3-22 16:00;4351.49;4388.78;4343.89;4377.82
2-3-22 17:00;4377.75;4387.25;4373.02;4384.5
2-3-22 18:00;4384.56;4399.68;4384.56;4394.27
2-3-22 19:00;4394.25;4401.14;4384.18;4386.73
2-3-22 20:00;4386.8;4401.48;4384.05;4385.62
2-3-22 21:00;4386.01;4386.55;4386.01;4386.54
3-3-22 14:00;4401.31;4416.78;4396.57;4404.01
3-3-22 15:00;4403.82;4408.67;4355.2;4355.23
3-3-22 16:00;4355.25;4373.96;4345.56;4369.6
3-3-22 17:00;4369.66;4397.96;4360.99;4384.81
3-3-22 18:00;4384.82;4395.34;4380.52;4386.12
3-3-22 19:00;4386.02;4397.77;4365.55;4368.75
3-3-22 20:00;4367.71;4370.66;4346.03;4363.74
3-3-22 21:00;4363.83;4363.83;4363.48;4363.49
4-3-22 14:00;4342.12;4342.12;4300.82;4324.25
4-3-22 15:00;4324.04;4329.15;4290.05;4290.89
4-3-22 16:00;4290.95;4305.45;4284.98;4297.9
4-3-22 17:00;4297.88;4328.39;4293.7;4324.87
4-3-22 18:00;4324.94;4339.48;4309.84;4310.39
4-3-22 19:00;4310.44;4323.65;4298.57;4299.01
4-3-22 20:00;4299.03;4331.66;4298.82;4329.36
4-3-22 21:00;4328.52;4328.88;4328.48;4328.87
7-3-22 14:00;4327.01;4327.01;4285.05;4285.31
7-3-22 15:00;4283.57;4291.77;4256.39;4261.28
7-3-22 16:00;4261.18;4276.98;4246.1;4247.43
7-3-22 17:00;4247.44;4248.25;4228.09;4235.44
