Data,Open, High,Low,Close,Volume
2025-01-10 19:00:00,5810.6,5836.3,5804.8,5834.8,5010
2025-01-10 20:00:00,5834.6,5866.1,5829.1,5865.1,4530
2025-01-10 21:00:00,5865.3,5865.8,5832.6,5841.6,5511
2025-01-10 22:00:00,5840.8,5844.3,5817.1,5825.6,5641
2025-01-10 23:00:00,5825.3,5829.0,5817.5,5819.8,1173
2025-01-13 01:00:00,5818.3,5827.0,5807.7,5819.5,2454
2025-01-13 02:00:00,5819.2,5827.0,5815.0,5818.0,1672
2025-01-13 03:00:00,5818.2,5818.5,5798.2,5804.5,2611
2025-01-13 04:00:00,5804.3,5808.8,5801.0,5803.0,1465
2025-01-13 05:00:00,5802.7,5805.2,5790.7,5797.0,1577
2025-01-13 06:00:00,5797.1,5801.6,5797.1,5801.1,858
2025-01-13 07:00:00,5800.8,5801.3,5794.6,5798.8,897
2025-01-13 08:00:00,5798.7,5808.2,5798.7,5803.3,1017
2025-01-13 09:00:00,5803.0,5805.5,5796.2,5799.6,1968
2025-01-13 10:00:00,5799.3,5806.0,5783.7,5784.6,4033
2025-01-13 11:00:00,5785.2,5785.8,5769.2,5772.2,4058
2025-01-13 12:00:00,5772.0,5782.2,5769.7,5777.0,2381
2025-01-13 13:00:00,5777.5,5781.8,5773.3,5779.0,2460
2025-01-13 14:00:00,5779.2,5794.2,5771.5,5788.3,3448
2025-01-13 15:00:00,5788.5,5795.2,5781.3,5787.7,3252
2025-01-13 16:00:00,5787.5,5803.3,5773.3,5799.1,6772
2025-01-13 17:00:00,5798.6,5812.3,5779.6,5799.7,6919
2025-01-13 18:00:00,5800.3,5802.8,5779.6,5780.6,5850
2025-01-13 19:00:00,5780.8,5817.0,5777.1,5816.0,5186
2025-01-13 20:00:00,5816.3,5824.5,5810.3,5821.8,4144
2025-01-13 21:00:00,5821.9,5831.5,5811.0,5826.2,4434
2025-01-13 22:00:00,5826.0,5838.7,5820.2,5836.0,4462
2025-01-13 23:00:00,5836.1,5843.6,5832.6,5842.6,862
2025-01-14 01:00:00,5850.4,5862.0,5847.9,5853.3,1309
2025-01-14 02:00:00,5853.5,5854.5,5848.8,5853.6,1274
2025-01-14 03:00:00,5853.3,5853.3,5848.8,5849.9,1177
2025-01-14 04:00:00,5850.1,5851.3,5844.0,5851.1,1062
2025-01-14 05:00:00,5850.6,5851.9,5848.1,5848.4,870
2025-01-14 06:00:00,5848.6,5853.7,5847.3,5853.2,610
2025-01-14 07:00:00,5853.3,5856.9,5851.1,5856.9,762
2025-01-14 08:00:00,5857.0,5858.4,5852.4,5853.8,862
2025-01-14 09:00:00,5854.6,5858.6,5849.0,5856.5,1234
2025-01-14 10:00:00,5856.6,5874.1,5855.3,5869.5,2264
2025-01-14 11:00:00,5869.3,5871.9,5863.0,5866.3,2111
2025-01-14 12:00:00,5866.4,5868.3,5861.5,5866.6,1273
2025-01-14 13:00:00,5866.4,5866.4,5855.3,5856.8,1435
2025-01-14 14:00:00,5856.5,5859.5,5842.8,5850.2,2838
2025-01-14 15:00:00,5850.3,5879.2,5835.4,5857.8,4933
2025-01-14 16:00:00,5858.0,5870.3,5839.6,5842.8,6563
2025-01-14 17:00:00,5843.1,5867.1,5838.7,5838.7,6479
2025-01-14 18:00:00,5838.8,5840.3,5808.2,5808.2,6068
2025-01-14 19:00:00,5808.1,5825.8,5803.8,5822.6,4309
2025-01-14 20:00:00,5822.3,5859.1,5821.3,5856.4,3230
2025-01-14 21:00:00,5856.1,5859.9,5824.6,5826.1,3519
2025-01-14 22:00:00,5826.3,5843.8,5809.6,5842.6,5715
2025-01-14 23:00:00,5842.1,5855.6,5841.7,5852.1,998
2025-01-15 01:00:00,5850.8,5851.2,5844.8,5846.9,545
2025-01-15 02:00:00,5846.6,5847.6,5844.8,5847.4,531
2025-01-15 03:00:00,5847.6,5848.9,5845.8,5847.9,371
2025-01-15 04:00:00,5848.1,5848.4,5843.9,5844.4,311
2025-01-15 05:00:00,5844.0,5845.1,5843.4,5843.6,235
2025-01-15 06:00:00,5843.9,5844.6,5841.8,5844.6,155
2025-01-15 07:00:00,5844.5,5845.1,5842.0,5843.6,351
2025-01-15 08:00:00,5843.9,5846.4,5843.3,5845.6,162
2025-01-15 09:00:00,5845.8,5847.1,5843.5,5844.8,399
2025-01-15 10:00:00,5845.1,5847.6,5839.9,5844.5,1257
2025-01-15 11:00:00,5844.7,5851.9,5843.2,5848.9,883
2025-01-15 12:00:00,5849.2,5853.2,5844.1,5852.5,822
2025-01-15 13:00:00,5852.8,5866.4,5852.0,5863.2,1031
2025-01-15 14:00:00,5862.7,5865.7,5858.4,5861.9,1150
2025-01-15 15:00:00,5862.2,5939.9,5860.4,5930.7,4159
2025-01-15 16:00:00,5930.9,5943.3,5913.3,5941.3,5177
2025-01-15 17:00:00,5941.5,5952.0,5933.0,5933.5,4991
2025-01-15 18:00:00,5934.0,5942.0,5916.3,5921.5,4903
